        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00000000e+00,        +1.414213562373e-01,        +1.427311059203e-01,        +6.564299514466e-03,        +1.370674759999e-01,        -3.302421328012e-02
 1.50000000e+00,        +1.414213562373e-01,        +1.444736924097e-01,        +9.385926068497e-03,        +1.319213194477e-01,        -4.880457403139e-02
 2.00000000e+00,        +1.414213562373e-01,        +1.467938887948e-01,        +1.167486139956e-02,        +1.249400789021e-01,        -6.376029162156e-02
 2.50000000e+00,        +1.414213562373e-01,        +1.495335742257e-01,        +1.330805010529e-02,        +1.162765078328e-01,        -7.767631526759e-02
 3.00000000e+00,        +1.414213562373e-01,        +1.525114153839e-01,        +1.420852743674e-02,        +1.061066030726e-01,        -9.037386580312e-02
 3.50000000e+00,        +1.414213562373e-01,        +1.555360380213e-01,        +1.434821429741e-02,        +9.461899192897e-02,        -1.017109848817e-01
 4.00000000e+00,        +1.414213562373e-01,        +1.584185840765e-01,        +1.374705334106e-02,        +8.200558004131e-02,        -1.115797901125e-01
 4.50000000e+00,        +1.414213562373e-01,        +1.609840582727e-01,        +1.246927496127e-02,        +6.845459159850e-02,        -1.199013890743e-01
 5.00000000e+00,        +1.414213562373e-01,        +1.630803082771e-01,        +1.061754139774e-02,        +5.414653279704e-02,        -1.266193709234e-01
 5.50000000e+00,        +1.414213562373e-01,        +1.645853926980e-01,        +8.325456802631e-03,        +3.925249516976e-02,        -1.316930215286e-01
 6.00000000e+00,        +1.414213562373e-01,        +1.654123763833e-01,        +5.750161832673e-03,        +2.393607165242e-02,        -1.350916721390e-01
 6.50000000e+00,        +1.414213562373e-01,        +1.655131066894e-01,        +3.063871100460e-03,        +8.356360210115e-03,        -1.367903502998e-01
 7.00000000e+00,        +1.414213562373e-01,        +1.648802816267e-01,        +4.455537926808e-04,        -7.327329583798e-03,        -1.367677425692e-01
 7.50000000e+00,        +1.414213562373e-01,        +1.635482957833e-01,        -1.927790305602e-03,        -2.295040562424e-02,        -1.350064786384e-01
 8.00000000e+00,        +1.414213562373e-01,        +1.615927007414e-01,        -3.889977301084e-03,        -3.833840778243e-02,        -1.314960875920e-01
 8.50000000e+00,        +1.414213562373e-01,        +1.591278303916e-01,        -5.294973648817e-03,        -5.330368157263e-02,        -1.262379961342e-01
 9.00000000e+00,        +1.414213562373e-01,        +1.563027017308e-01,        -6.026230750235e-03,        -6.764446567667e-02,        -1.192522729256e-01
 9.50000000e+00,        +1.414213562373e-01,        +1.532939395361e-01,        -6.005466387107e-03,        -8.114653841759e-02,        -1.105853205099e-01
 1.00000000e+01,        +1.414213562373e-01,        +1.502963880644e-01,        -5.200206243609e-03,        -9.358836034066e-02,        -1.003172085708e-01
 1.05000000e+01,        +1.414213562373e-01,        +1.475109971450e-01,        -3.628942756178e-03,        -1.047492505845e-01,        -8.856743486368e-02
 1.10000000e+01,        +1.414213562373e-01,        +1.451308167978e-01,        -1.362825967707e-03,        -1.144200753868e-01,        -7.549781308803e-02
 1.15000000e+01,        +1.414213562373e-01,        +1.433262225381e-01,        +1.476849730826e-03,        -1.224152361752e-01,        -6.131142104623e-02
 1.20000000e+01,        +1.414213562373e-01,        +1.422312083261e-01,        +4.726217191926e-03,        -1.285844565632e-01,        -4.624726043983e-02
 1.25000000e+01,        +1.414213562373e-01,        +1.419318611028e-01,        +8.189987312533e-03,        -1.328221286130e-01,        -3.057076034186e-02
 1.30000000e+01,        +1.414213562373e-01,        +1.424593175678e-01,        +1.165642391944e-02,        -1.350733564776e-01,        -1.456139114444e-02
 1.35000000e+01,        +1.414213562373e-01,        +1.437874862505e-01,        +1.491353037612e-02,        -1.353352004037e-01,        +1.501080587159e-03
 1.40000000e+01,        +1.414213562373e-01,        +1.458360751517e-01,        +1.776482954839e-02,        -1.336532503287e-01,        +1.734975377506e-02
 1.45000000e+01,        +1.414213562373e-01,        +1.484778845602e-01,        +2.004315175988e-02,        -1.301142847730e-01,        +3.274129113794e-02
 1.50000000e+01,        +1.414213562373e-01,        +1.515495288196e-01,        +2.162080666700e-02,        -1.248360847551e-01,        +4.746317261954e-02
